start_date,end_date,vendor_code,vendor_name,invoice date,invoice#,customer,part_code,product_name,vintage,qty,sell_price,sold for,invoice_count,cases_sold,da_amount,da_total,date_active,expiration,da_hit,active
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-03,216150,Acc_cd19a1,91835.0,Prod_63778501,,1.0,44.014084507042256,49.87,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-05,216225,Acc_c4d335,91835.0,Prod_63778501,,1.0,44.014084507042256,47.95,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-11,216305,Acc_8b08ae,91835.0,Prod_63778501,,3.0,44.014084507042256,44.04,1.0,3.0,2.5,7.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-11,216338,Acc_36bd6b,91835.0,Prod_63778501,,1.0,44.014084507042256,49.69,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-17,216454,Acc_cd19a1,91835.0,Prod_63778501,,1.0,44.014084507042256,51.84,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-18,216463,Acc_ec4890,91835.0,Prod_63778501,,1.0,44.014084507042256,50.84,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-18,216471,Acc_e55bbc,91835.0,Prod_63778501,,1.0,44.014084507042256,48.38,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-18,216499,Acc_46ccfc,91835.0,Prod_63778501,,1.0,44.014084507042256,41.05,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-24,216582,Acc_d50ce1,91835.0,Prod_63778501,,3.0,44.014084507042256,39.76,1.0,3.0,2.5,7.5,2024-10-14,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-24,216584,Acc_f10f42,91835.0,Prod_63778501,,1.0,44.014084507042256,49.72,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-23,216600,Acc_081da6,91835.0,Prod_63778501,,1.0,44.014084507042256,50.41,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-18,216499,Acc_46ccfc,92197.0,Prod_88205205,,1.0,67.3943661971831,76.64,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-24,216582,Acc_d50ce1,92197.0,Prod_88205205,,1.0,67.3943661971831,70.86,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-24,216583,Acc_6233e4,92197.0,Prod_88205205,,3.0,67.3943661971831,56.0,1.0,3.0,2.5,7.5,2024-10-14,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-24,216584,Acc_f10f42,92197.0,Prod_88205205,,3.0,67.3943661971831,59.54,1.0,3.0,2.5,7.5,2024-10-14,2029-12-31,true,true
2025-06-01,2025-06-30,83,VNDR_L4URDB,2025-06-23,216594,Acc_995252,92197.0,Prod_88205205,,1.0,67.3943661971831,75.6,1.0,1.0,2.5,2.5,2024-10-14,2029-12-31,false,true
2025-06-01,2025-06-30,274,VNDR_QHLJ4I,2025-06-03,216135,Acc_f6bf2c,92569.0,Prod_34817827,,6.0,9999.0,22.24,1.0,1.0,9.0,9.0,2024-09-01,2029-12-31,true,true
2025-06-01,2025-06-30,274,VNDR_QHLJ4I,2025-06-06,216234,Acc_9b47b4,92569.0,Prod_34817827,,6.0,9999.0,22.32,1.0,1.0,9.0,9.0,2024-09-01,2029-12-31,true,true
2025-06-01,2025-06-30,274,VNDR_QHLJ4I,2025-06-10,216290,Acc_b0634e,92569.0,Prod_34817827,,6.0,9999.0,22.5,1.0,1.0,9.0,9.0,2024-09-01,2029-12-31,true,true
