part_code	product_name	description	category_name	sub_category_name	location	total_onhand	cost	weighted_cost	price	vendor_code	vendor_name	date_last_sold	discontinued	date_created
71842	Prod_85566558		Beer Domestic	Beer Dom. 12 x 22oz	F5 End Cap	0.0	83.37	87.5	129.15	83.0	VNDR_L4URDB	08/06/14	True	11/19/12
36990	Prod_57407853		Italian Whites	Italian White 750 small		0.0	6.72	5.6917	10.89	245.0	VNDR_WGS466	08/24/24	True	11/28/12
26193	Prod_10470787		French Sparkling	French Sparkling 750 small		0.0	39.21	30.5	58.92	64.0	VNDR_A49R76	00/00/00	True	11/30/12
40109	Prod_11224484		French Sparkling	French Sparkling 1.5 small		0.0	144.3	142.0	205.61	64.0	VNDR_A49R76	00/00/00	True	11/30/12
29233	Prod_29693258		French Sparkling	French Sparkling 1.5 small		0.0	149.59	150.0	224.18	64.0	VNDR_A49R76	00/00/00	True	11/30/12
91730	Prod_79207329		Port	Port 750 Old small		0.0	24.17	23.5	41.34	36.0	VNDR_YAAG04	10/02/15	True	11/30/12
44510	Prod_10182829		Port	Port 375 Old small	D2.3	0.0	12.22	13.0	20.26	36.0	VNDR_YAAG04	10/29/15	True	11/30/12
11306	Prod_19504703	12/750	French Reds	French Red 750 small		36.0	128.92	135.0533	138.54	167.0	VNDR_NKO51N	12/19/24	False	12/14/12
13849	Prod_80538245		French Sparkling	French Sparkling 750 small		0.0	35.93	35.33	47.63	7.0	VNDR_9NWZAO	08/15/19	True	12/14/12
22360	Prod_62513230		Italian Reds	Italian Red 750 small	B7.1	0.0	11.63	12.0	26.47	170.0	VNDR_NGKU0P	04/28/15	True	12/24/12
55800	Prod_25616434		Italian Reds	Italian Red 750 small	B6.2	0.0	14.65	16.3793	29.32	170.0	VNDR_NGKU0P	10/30/14	True	12/24/12
46963	Prod_34682087		Spanish Whites	Spanish White Small 3.0L	B1.2	0.0	9.99	9.8323	18.72	268.0	VNDR_MVY0XZ	05/14/14	True	12/24/12
64330	Prod_57701898		Spanish Reds	Spanish Red Small 3.0L	B2.2	0.0	9.65	9.833	18.57	268.0	VNDR_MVY0XZ	03/12/14	True	12/24/12
61707	Prod_54858094		French Whites	French White 750 small		0.0	5.38	5.6666	9.08	7.0	VNDR_9NWZAO	01/09/13	True	12/28/12
28689	Prod_66496929		Oregon & Wash.	Oregon & Wash. 750 small		0.0	12.22	12.0	18.66	187.0	VNDR_AOAUA5	01/21/13	True	12/28/12
39084	Prod_15449459		California Red	California Red 750 small	_Office	0.0	9.34	10.0	19.54	82.0	VNDR_GB1SKL	01/22/14	True	01/03/13
50387	Prod_79567109		California Red	California Red 750 small	C5.1	0.0	8.66	8.5	15.79	237.0	VNDR_4EOD8A	03/31/14	True	01/03/13
84816	Prod_81114786		Accessories - Non Alcohol	Accessories - Non Alcohol		0.0	70.2	75.0	106.93	215.0	VNDR_JVWJ9K	00/00/00	True	01/04/13
12642	Prod_17300036		Accessories - Non Alcohol	Accessories - Non Alcohol		0.0	81.69	82.0	116.21	215.0	VNDR_JVWJ9K	00/00/00	True	01/04/13
52137	Prod_79077185		French Whites	French White 750 small	A3.3	0.0	16.88	17.99	33.3	132.0	VNDR_FHSZ8T	01/28/21	True	01/08/13
89832	Prod_80391688		French Reds	French Red 750 small	A6.2	0.0	14.0	14.0	21.42	336.0	VNDR_ZV9HC0	03/04/21	True	01/10/13
65561	Prod_53012119		French Whites	French White 750 small	A5.1	0.0	12.14	12.9998	19.98	52.0	VNDR_X2MFB8	07/01/15	True	01/13/13
72260	Prod_38988035		California Red	California Red 750 small	C2.1	0.0	15.2	13.6364	24.39	82.0	VNDR_GB1SKL	09/13/17	True	01/15/13
25438	Prod_11368407		California Red	California Red 750 small	C4.2	0.0	7.32	7.5013	16.23	125.0	VNDR_HX9PN7	11/09/15	True	01/18/13
58442	Prod_64384249		California Whites	California Whites 750 small	C1.2	0.0	6.82	7.25	11.45	246.0	VNDR_H9XSAZ	01/05/17	True	01/22/13
12994	Prod_79044808		California Red	California Red 750 small	C1.2	0.0	10.01	10.0	15.51	246.0	VNDR_H9XSAZ	05/31/15	True	01/22/13
11813	Prod_63718531		Spirits	Scotch 750	D1.4	0.0	29.54	30.17	45.73	83.0	VNDR_L4URDB	01/23/15	True	01/22/13
94381	Prod_12307077		Spirits	Scotch 750	D1.4	0.0	46.7	49.17	73.93	83.0	VNDR_L4URDB	10/07/14	True	01/22/13
65276	Prod_28206870		Spirits	Scotch 750		0.0	29.37	31.5	44.72	83.0	VNDR_L4URDB	00/00/00	True	01/22/13
51243	Prod_24693023		Spirits	Scotch 750	D1.4	0.0	38.88	40.0	57.68	83.0	VNDR_L4URDB	09/05/18	True	01/23/13
72912	Prod_43239035		California Red	California Red 375 small	C4.2	0.0	11.74	12.5	18.0	209.0	VNDR_KA6F4X	04/15/16	True	01/23/13
70272	Prod_87865043	6-pk	California Red	California Red 750 small		0.0	56.42	19.166	87.66	209.0	VNDR_KA6F4X	03/01/13	True	01/23/13
52051	Prod_30993263		Beer Imported	Beer Imp. 24 x 11.2 oz.	G3.2	0.0	20.1	21.0	46.08	220.0	VNDR_8M6UQ2	06/02/14	True	01/27/13
88854	Prod_27385464	6-pack	French Reds	French Red 750 small	COSTCO	0.0	23.44	23.61	25.48	167.0	VNDR_NKO51N	04/17/25	False	01/31/13
92736	Prod_12282207		Oregon & Wash.	Oregon & Wash. 750 small	E3.1	227.0	8.85	9.0	15.29	179.0	VNDR_9IGGEP	07/23/25	False	02/05/13
75618	Prod_12958936		Oregon & Wash.	Oregon & Wash. 750 small	E2.2	0.0	7.51	9.0	14.65	179.0	VNDR_9IGGEP	01/01/15	True	02/05/13
11920	Prod_53151198		French Reds	French Red 750 small	A6.3	0.0	11.62	12.0	17.48	7.0	VNDR_9NWZAO	01/01/15	True	02/08/13
87219	Prod_91165745		Beer Imported	Beer Imp. 24 x 11.2 oz.	G1.1	0.0	21.99	21.6	46.84	83.0	VNDR_L4URDB	05/19/15	True	02/11/13
86872	Prod_26568396		Beer Imported	Beer Imp. 24 x 11.2 oz.		0.0	20.66	21.6	44.59	83.0	VNDR_L4URDB	00/00/00	True	02/11/13
91132	Prod_27548435		Beer Domestic	Beer Dom. 12 x 22oz	H1.2	0.0	23.58	24.0	49.78	83.0	VNDR_L4URDB	12/29/14	True	02/11/13
12093	Prod_48589907		Beer Imported	Beer Imported 16.9oz x 16 btl	G2.2	0.0	27.22	26.6	52.09	83.0	VNDR_L4URDB	07/04/16	True	02/11/13
22905	Prod_87169863		California Red	California Red 750 small	C6.1	0.0	9.11	9.333	15.6	136.0	VNDR_5E5EYQ	07/01/14	True	02/13/13
34351	Prod_55312512		California Red	California Red 750 small	C6.1	0.0	8.97	9.33	16.11	136.0	VNDR_5E5EYQ	07/01/14	True	02/13/13
40981	Prod_28676679		Beer Imported	Beer Imported 10L (2x 5L keg)	G3.1	0.0	24.48	25.0	55.82	220.0	VNDR_8M6UQ2	07/23/13	True	02/15/13
83903	Prod_66601198		Beer Imported	Beer Imported 10L (2x 5L keg)	G3.2	0.0	26.18	26.0	56.69	220.0	VNDR_8M6UQ2	08/14/13	True	02/15/13
80821	Prod_81617916	btl 5010549304151	Beer Imported	Beer Imp. 12 x 16.9oz.	G2.2	0.0	22.36	23.0	46.54	83.0	VNDR_L4URDB	11/04/15	True	02/15/13
92289	Prod_66019281	6/750	French Reds	French Red 750 small		0.0	38.97	38.73	53.63	167.0	VNDR_NKO51N	12/12/24	False	02/18/13
94021	Prod_29580955	6/750	French Reds	French Red 750 small	F2.3	0.0	25.17	25.055	27.78	167.0	VNDR_NKO51N	07/31/25	False	02/18/13
88513	Prod_52789213		French Reds	French Red 750 small	Wall	0.0	13.78	14.0	21.25	167.0	VNDR_NKO51N	02/06/25	False	02/18/13
29874	Prod_47939900	12/750	French Reds	French Red 750 small		0.0	23.86	23.4892	26.17	167.0	VNDR_NKO51N	07/24/25	False	02/18/13
60931	Prod_67592001		California Red	California Red 750 small	C6.1	0.0	6.76	7.162	12.11	157.0	VNDR_IY1I65	01/28/19	True	02/18/13
17674	Prod_35860911		Beer Imported	Beer Imp. 20 x 16.9oz.	BB3.1	34.0	43.73	44.2	80.12	83.0	VNDR_L4URDB	08/01/25	False	02/19/13
60516	Prod_90057513		Oregon & Wash.	Oregon & Wash. 750 small	E3.3	0.0	38.02	39.0	58.92	241.0	VNDR_Z5P9OE	05/14/15	True	02/19/13
70686	Prod_90591893		Oregon & Wash.	Oregon & Wash. 750 small	E3.3	0.0	55.43	54.0	86.69	241.0	VNDR_Z5P9OE	03/26/15	True	02/19/13
79212	Prod_81469048		Oregon & Wash.	Oregon & Wash. 750 small	E2.2	0.0	43.01	45.0	68.11	241.0	VNDR_Z5P9OE	08/04/16	True	02/19/13
12426	Prod_82432850		Beer Imported	Beer Imp. 20 x 16.9oz.	F5 End Cap	0.0	31.44	32.5	61.87	83.0	VNDR_L4URDB	09/08/15	True	02/20/13
78498	Prod_29889851	12pk 780369802124	Beer Domestic	Beer Dom. 24 x 12oz.	G1.1	0.0	17.04	18.1	40.81	83.0	VNDR_L4URDB	07/22/14	True	02/20/13
39943	Prod_21238784		French Rose	French Rose 750 small	A1.3	0.0	3.75	3.93	9.46	233.0	VNDR_0RPB2B	07/02/13	True	02/25/13
76395	Prod_79989378		California Red	California Red 750 small	C3.2	0.0	16.28	17.0	24.6	248.0	VNDR_3QLRDF	04/01/15	True	02/25/13
54816	Prod_26013669		California Red	California Red 750 small	C3.2	0.0	30.05	30.0	44.15	248.0	VNDR_3QLRDF	04/01/15	True	02/25/13
14138	Prod_52324661		Beer Imported	Beer Imp. 24 x 11.2 oz.	G3.1	12.0	29.19	31.2	54.26	83.0	VNDR_L4URDB	07/23/25	False	03/01/13
85945	Prod_66187813		California Red	California Red 750 small	E2.2	59.0	21.88	22.0	30.54	243.0	VNDR_6ZQ6VN	07/21/25	False	03/05/13
14017	Prod_19112375		California Whites	California White 20L keg small	BC	0.0	180.54	189.5	290.7	210.0	VNDR_0IP1HX	12/01/14	True	03/05/13
20451	Prod_62642950		California Red	California Red 20.0L keg small	G1.3	0.0	258.7	275.5	402.3	210.0	VNDR_0IP1HX	04/22/13	True	03/05/13
72956	Prod_10886833		Spirits	Vodka 750	D1.3	0.0	18.4	19.1666	30.28	224.0	VNDR_9GBPSK	02/08/16	True	03/08/13
20278	Prod_36341072		Spirits	Whiskey 750	D1.2	0.0	16.68	17.5	28.49	224.0	VNDR_9GBPSK	01/06/16	True	03/08/13
53764	Prod_64536817		Spirits	Whiskey 750	D1.2	0.0	17.24	17.5	30.17	224.0	VNDR_9GBPSK	01/06/16	True	03/08/13
11134	Prod_36218853		Spirits	Whiskey 750	D1.3	0.0	21.74	22.5	36.91	224.0	VNDR_9GBPSK	09/27/16	True	03/08/13
72943	Prod_90653239		Spirits	Whiskey 750	D1.2	0.0	20.51	20.0	30.65	224.0	VNDR_9GBPSK	03/25/15	True	03/08/13
64318	Prod_51820738		Spanish Reds	Spanish Reds 750 small	D5.1	0.0	9.91	9.6666	17.9	42.0	VNDR_7DPDE8	08/01/13	True	03/14/13
70128	Prod_28590180		French Whites	French White small 1.5L	A2.2	0.0	16.18	16.6	60.59	132.0	VNDR_FHSZ8T	10/03/13	True	03/15/13
98056	Prod_91338768		French Reds	French Red 750 small	A4.3	0.0	16.06	15.92	23.93	132.0	VNDR_FHSZ8T	12/18/17	True	03/15/13
