ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-04-17,175144.64919382904,122755.21911808288,211028.49126732495,175144.64919382904,175144.64919382904,-6820.529297778094,-6820.529297778094,-6820.529297778094,-6820.529297778094,-6820.529297778094,-6820.529297778094,0.0,0.0,0.0,168324.11989605095
2022-04-24,175073.32336106847,123003.25295988935,210417.77777508946,175073.32336106847,175073.32336106847,-7774.214550548787,-7774.214550548787,-7774.214550548787,-7774.214550548787,-7774.214550548787,-7774.214550548787,0.0,0.0,0.0,167299.10881051968
2022-05-01,175001.9975283079,124646.54641452222,214270.29051241573,175001.9975283079,175001.9975283079,-4198.250328815976,-4198.250328815976,-4198.250328815976,-4198.250328815976,-4198.250328815976,-4198.250328815976,0.0,0.0,0.0,170803.74719949192
2022-05-08,174930.67169554735,136426.85243461782,224347.359458246,174930.67169554735,174930.67169554735,3813.6450668373463,3813.6450668373463,3813.6450668373463,3813.6450668373463,3813.6450668373463,3813.6450668373463,0.0,0.0,0.0,178744.3167623847
2022-05-15,174859.345858991,141756.74828373842,227956.65376745714,174859.345858991,174859.345858991,11317.85182494697,11317.85182494697,11317.85182494697,11317.85182494697,11317.85182494697,11317.85182494697,0.0,0.0,0.0,186177.19768393796
2022-05-22,174788.02002243465,142860.55807725567,233119.7596556278,174788.02002243465,174788.02002243465,13331.60779851819,13331.60779851819,13331.60779851819,13331.60779851819,13331.60779851819,13331.60779851819,0.0,0.0,0.0,188119.62782095282
2022-05-29,174716.69418587832,137676.8633146847,228354.99440709729,174716.69418587832,174716.69418587832,8428.608077180565,8428.608077180565,8428.608077180565,8428.608077180565,8428.608077180565,8428.608077180565,0.0,0.0,0.0,183145.3022630589
2022-06-05,174645.36834932197,127875.97585300413,218823.31648302774,174645.36834932197,174645.36834932197,-1399.1996671948139,-1399.1996671948139,-1399.1996671948139,-1399.1996671948139,-1399.1996671948139,-1399.1996671948139,0.0,0.0,0.0,173246.16868212717
2022-06-12,174574.04251276565,118418.50028860556,211471.2364246422,174574.04251276565,174574.04251276565,-12260.495260968959,-12260.495260968959,-12260.495260968959,-12260.495260968959,-12260.495260968959,-12260.495260968959,0.0,0.0,0.0,162313.5472517967
2022-06-19,174502.7166762093,111214.44303724733,197928.31548174642,174502.7166762093,174502.7166762093,-19181.710134538447,-19181.710134538447,-19181.710134538447,-19181.710134538447,-19181.710134538447,-19181.710134538447,0.0,0.0,0.0,155321.00654167085
2022-06-26,174431.3907028053,110684.58484282589,204359.93549702645,174431.3907028053,174431.3907028053,-17675.619121926382,-17675.619121926382,-17675.619121926382,-17675.619121926382,-17675.619121926382,-17675.619121926382,0.0,0.0,0.0,156755.77158087894
2022-07-03,174360.06472940135,122818.35124326531,211109.10456957654,174360.06472940135,174360.06472940135,-7453.328639574911,-7453.328639574911,-7453.328639574911,-7453.328639574911,-7453.328639574911,-7453.328639574911,0.0,0.0,0.0,166906.73608982645
2022-07-10,174288.73875599736,134439.808960962,225028.1989946298,174288.73875599736,174288.73875599736,4913.219514739779,4913.219514739779,4913.219514739779,4913.219514739779,4913.219514739779,4913.219514739779,0.0,0.0,0.0,179201.95827073714
2022-07-17,174217.41278259337,142985.69898587046,224543.1744816682,174217.41278259337,174217.41278259337,9452.511669646157,9452.511669646157,9452.511669646157,9452.511669646157,9452.511669646157,9452.511669646157,0.0,0.0,0.0,183669.92445223953
2022-07-24,174146.0868091894,130211.02660747165,219755.41326543124,174146.0868091894,174146.0868091894,1607.0368416156448,1607.0368416156448,1607.0368416156448,1607.0368416156448,1607.0368416156448,1607.0368416156448,0.0,0.0,0.0,175753.12365080506
2022-07-31,174074.76083578545,114972.12671764217,206107.00092031862,174074.76083578545,174074.76083578545,-12068.426433436549,-12068.426433436549,-12068.426433436549,-12068.426433436549,-12068.426433436549,-12068.426433436549,0.0,0.0,0.0,162006.3344023489
2022-08-07,174003.434854232,112681.80078310115,201117.33197816127,174003.434854232,174003.434854232,-18725.605280336797,-18725.605280336797,-18725.605280336797,-18725.605280336797,-18725.605280336797,-18725.605280336797,0.0,0.0,0.0,155277.8295738952
2022-08-14,173932.10887267857,120586.35960219686,205056.9927957329,173932.10887267857,173932.10887267857,-11114.439296191027,-11114.439296191027,-11114.439296191027,-11114.439296191027,-11114.439296191027,-11114.439296191027,0.0,0.0,0.0,162817.66957648753
2022-08-21,173860.78289112516,132217.187825424,222181.4766310353,173860.78289112516,173860.78289112516,5563.259580996899,5563.259580996899,5563.259580996899,5563.259580996899,5563.259580996899,5563.259580996899,0.0,0.0,0.0,179424.04247212206
2022-08-28,173789.45690957172,150431.16048879924,238679.36358527592,173789.45690957172,173789.45690957172,19311.386309766036,19311.386309766036,19311.386309766036,19311.386309766036,19311.386309766036,19311.386309766036,0.0,0.0,0.0,193100.84321933775
2022-09-04,173718.13092801828,154042.08797998048,246322.0749564928,173718.13092801828,173718.13092801828,23300.93661279175,23300.93661279175,23300.93661279175,23300.93661279175,23300.93661279175,23300.93661279175,0.0,0.0,0.0,197019.06754081004
2022-09-11,173646.8049464648,152250.60698913413,240040.81152696602,173646.8049464648,173646.8049464648,21005.38367310408,21005.38367310408,21005.38367310408,21005.38367310408,21005.38367310408,21005.38367310408,0.0,0.0,0.0,194652.1886195689
