tier,vendor_code,vendor_name,priority_score,part_code,product_name,description,category_name,sub_category_name,location,total_onhand,cost,weighted_cost,total_onhand_cost,price,margin,weighted_margin,date_last_sold,status,start_date,end_date,date_created,vs_notes,active_po,date_ordered,qty_on_order,case_count,purchase_qty,po_cost,weeks_remaining,weeks_remaining_avg,weeks_remaining_min,average_movement_month,average_movement_two_month,average_movement_three_month,average_movement_six_month,average_movement_one_year,average_movement_month_ly,rolling_average,qty sold,average_orders_week,account_sprawl,most_common_qty_sold,most_qty_sold,max_qty_account,min,sum_qty_sold,key_account,is_whole_foods,wf_last_order_date,whole_foods,total_wine,date_last_po,last_po,last_purchase_qty,dealer,shipper,order,total_weighted_score,normalized_score,decision
5.0,200.0,VNDR_Z0WZ8N,0.0,58784.0,Prod_92206755,6.0,Italian Reds,Italian Red 750 small,A8.1,6.0,23.09,24.66,147.96,36.04,0.36,0.3199999999999999,2025-07-02,-,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2022-04-13,,47562,6/3/25,24.0,4.0,0.0,554.16,-999.0,0.0,-999.0,0.0,0.0,0.83,0.42,1.08,126.0,0.28,16.0,0.0,4.0,2.0,6.0,Acc_973133,2.0,16.0,2.0,0.0,0,0,0,06/03/25,47562.0,24.0,Western,Distributors Transport,,0.0,6.93,Keep
5.0,276.0,VNDR_IRFPL8,-999.0,58785.0,Prod_77050968,6.0,Spirits,Other Spirits 750,D3.3,11.0,30.05,30.0,330.0,45.4,0.3399999999999999,0.3399999999999999,2025-07-15,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2017-03-03,,0,0,0.0,0.0,0.0,0.0,91.67,-999.0,22.92,0.0,0.12,0.25,0.12,0.46,0.0,0.12,9.0,0.12,5.0,1.0,4.0,Acc_bbe375,1.0,9.0,1.0,0.0,0,0,0,05/27/25,47522.0,12.0,Western,Groskopf,,0.0,5.13,Keep
5.0,343.0,VNDR_V2MZAM,-999.0,58803.0,Prod_17363344,12.0,French Whites,French White 750 small,A3.2,29.0,9.63,9.58,277.82,15.39,0.37,0.38,2025-08-03,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2016-08-09,,0,0,0.0,0.0,0.0,0.0,20.14,-999.0,20.14,0.0,1.5,1.0,0.5,1.5,0.0,0.83,24.0,0.12,2.0,12.0,12.0,Acc_8b08ae,12.0,24.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,4.78,Keep
6.0,404.0,VNDR_93CKJZ,0.0,58847.0,Prod_49831287,12.0,French Reds,French Red 750 small,0,0.0,13.95,0.0,0.0,25.02,0.4399999999999999,1.0,2022-10-21,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2015-01-14,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,,
4.0,343.0,VNDR_V2MZAM,-999.0,58893.0,Prod_66171836,12.0,California Whites,California Whites 750 small,A3.2,42.0,7.43,7.83,328.86,13.8,0.4599999999999999,0.43,2025-08-03,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2025-05-08,,0,0,0.0,0.0,0.0,0.0,33.6,-999.0,14.0,0.0,2.12,1.42,0.71,0.33,0.0,1.18,17.0,0.25,2.0,5.0,12.0,Acc_8b08ae,5.0,17.0,1.0,0.0,0,0,0,05/08/25,47373.0,60.0,Grape Ex,Groskopf,,0.0,1.67,Reduce
6.0,7.0,VNDR_9NWZAO,0.0,58928.0,Prod_76555948,12.0,Spirits,Other Spirits 750,0,3.0,107.56,114.0,342.0,165.98,0.35,0.31,2001-01-01,-,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2025-05-27,,0,0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,05/27/25,47534.0,3.0,Grape Ex,Groskopf,,0.0,,
6.0,367.0,VNDR_423MB2,0.0,59037.0,Prod_73988207,12.0,Argentina Sparkling,Argentina Sparkling 750 small,0,0.0,9.42,0.0,0.0,0.0,-100.0,0.0,2001-01-01,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2025-08-01,,47881,8/1/25,24.0,2.0,0.0,226.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,08/01/25,47881.0,24.0,SC Warehouse,Groskopf,,0.0,,
6.0,367.0,VNDR_423MB2,0.0,59111.0,Prod_52338762,12.0,Argentina,Argentina 750 small,0,0.0,28.93,0.0,0.0,0.0,-100.0,0.0,2001-01-01,,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2025-08-01,,47881,8/1/25,12.0,1.0,0.0,347.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,08/01/25,47881.0,12.0,SC Warehouse,Groskopf,,0.0,,
6.0,278.0,VNDR_MD82WN,0.0,59252.0,Prod_25281446,6.0,Australia,Australia 750 small,B8.3,12.0,23.29,24.0,288.0,39.37,0.41,0.39,2001-01-01,-,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2023-11-28,,0,0,0.0,0.0,0.0,0.0,-999.0,0.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,,0.0,,
5.0,124.0,VNDR_86SLSZ,-999.0,59402.0,Prod_82474468,6.0,Spanish Reds,Spanish Reds 750 small,D6.2,6.0,66.4,67.7,406.2,95.36,0.3,0.29,2025-08-03,+,2025-08-27 12:52:04.381650,2025-08-27 12:52:04.382542,2024-12-04,,0,0,0.0,0.0,6.0,0.0,7.89,-999.0,2.63,0.0,1.38,0.92,0.46,0.44,0.0,0.77,11.0,0.38,3.0,2.0,6.0,Acc_1832ec,2.0,11.0,1.0,0.0,0,0,TW,07/01/25,47714.0,18.0,ALBA,Distributor Transport,,0.0,7.1,Keep
